Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1206,6,100 nF,
C10,1206,1,10 nF,
"C7, C9",1206,2,47 pF,
C8,1206,1,10 uF,
D1,1206,1,LED_{Rx},
D2,1206,1,LED_{Tx},
D3,1206,1,PWR,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_2x32_P2.54mm_Vertical,1,Conn_02x32_Odd_Even,
"JP1, JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,3,Jumper_2_Bridged,
"R1, R10, R3, R5",1206,4,1000,
"R2, R6",1206,2,5100,
"R4, R8",1206,2,27,
"R7, R9",1206,2,270,
RN1,R_Array_Convex_4x1206,1,R_Pack04,
RN2,R_Array_Convex_4x1206,1,1000,
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x04,
SW2,SW_SPST_EVQPE1,1,SW_Push,
U1,DIP-40_W15.24mm,1,W65C02SxP,
U2,DIP-40_W15.24mm,1,W65C22SxP,
U3,DIP-28_W15.24mm,1,W65C51NxP,
U4,DIP-28_W15.24mm,1,CY62256-70PC,
U5,DIP-24_W7.62mm_Socket,1,ATF22V10B-15GM/883,
U6,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,
U7,DIP-32_W15.24mm,1,SST39SF040,
X1,Oscillator_DIP-14,1,ACO-1MHz-A,
X2,Oscillator_DIP-14,1,ACO-1.8432MHz-A,
